metric	source	count	note
Panel A | PXD003539 | original	Guo 2019 (OpenSWATH)	6556	Protein groups (1% global FDR)
Panel A | PXD003539 | quantmsdiann	quantmsdiann (DIA-NN)	6927	Protein groups (1% global FDR)
Panel A | PXD030304 | original	ProCan 2022	8498	Proteins @ Global.Q.Value <= 0.01
Panel A | PXD030304 | quantmsdiann	quantmsdiann (DIA-NN)	9370	Proteins @ Global.Q.Value <= 0.01
Panel A | PXD004701 | original	Sun 2023	6091	Proteins (consistency filter, <=90% missing)
Panel A | PXD004701 | quantmsdiann	quantmsdiann (DIA-NN)	6296	Proteins (consistency filter, <=90% missing)
Panel B | cell-line Venn | PXD003539_only	normalised cell-line names from SDRF (normalize_cell_line)	5	SDRF cell-line set membership at normalised-name level
Panel B | cell-line Venn | PXD030304_only	normalised cell-line names from SDRF (normalize_cell_line)	855	SDRF cell-line set membership at normalised-name level
Panel B | cell-line Venn | PXD004701_only	normalised cell-line names from SDRF (normalize_cell_line)	32	SDRF cell-line set membership at normalised-name level
Panel B | cell-line Venn | PXD003539+PXD030304	normalised cell-line names from SDRF (normalize_cell_line)	48	SDRF cell-line set membership at normalised-name level
Panel B | cell-line Venn | PXD003539+PXD004701	normalised cell-line names from SDRF (normalize_cell_line)	0	SDRF cell-line set membership at normalised-name level
Panel B | cell-line Venn | PXD030304+PXD004701	normalised cell-line names from SDRF (normalize_cell_line)	38	SDRF cell-line set membership at normalised-name level
Panel B | cell-line Venn | all_three	normalised cell-line names from SDRF (normalize_cell_line)	6	SDRF cell-line set membership at normalised-name level
Panel C | tissue | Lung	PXD003539	9	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Lung	PXD030304	187	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Lung	PXD004701	0	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Haematopoietic and Lymphoid	PXD003539	6	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
Panel C | tissue | Haematopoietic and Lymphoid	PXD030304	162	cell lines mapped to this tissue (unified ProCan 28-tissue axis)
