dataset	version	instrument	n_runs	n_tasks_observed	n_invocations	wallclock_seconds	wallclock_with_lib_seconds	insilico_lib_seconds	insilico_separable	trace_complete	source_file
MSV000093870	v2_5_1	Q Exactive	38	83	1	4375.0	5980.0	1605.0	True	True	data/perf_traces/MSV000093870/nextflow_trace.txt
PXD003539	v2_5_1	TripleTOF 5600	120	2	1	12398.0	12398.0	0.0	False	False	data/perf_traces/PXD003539/nextflow_trace.txt
PXD004701	v2_5_1	TripleTOF 5600	300	908	1	8368.0	9908.0	1540.0	True	True	data/perf_traces/PXD004701/nextflow_trace.txt
PXD017199	v2_5_1	Q Exactive	206	421	1	41035.579	42045.579	1010.0	True	True	data/perf_traces/PXD017199/nextflow_trace.txt
PXD030304	v2_5_1	TripleTOF 6600	5798	17414	1	22229.0	23763.0	1534.0	True	True	data/perf_traces/PXD030304/nextflow_trace.txt
PXD034128	v2_5_1	timsTOF Pro	7	5	1	18003.0	20163.0	2160.0	True	True	data/perf_traces/PXD034128/nextflow_trace.txt
PXD034623	v2_5_1	Orbitrap Exploris 480	63	134	1	4299.0	8193.0	3894.0	True	True	data/perf_traces/PXD034623/nextflow_trace.txt
PXD041421	v2_5_1	timsTOF Pro	48	104	1	7923.281999999999	8568.282	645.0	True	True	data/perf_traces/PXD041421/nextflow_trace.txt
PXD044991	v2_5_1	Orbitrap Astral	12	32	1	1798.987	2388.987	590.0	True	True	data/perf_traces/PXD044991/nextflow_trace.txt
PXD046357	v2_5_1	Orbitrap Astral	12	32	1	1367.34	1947.34	580.0	True	True	data/perf_traces/PXD046357/nextflow_trace.txt
PXD049412	v2_5_1	Orbitrap Astral	6	19	1	1538.0	2368.0	830.0	True	True	data/perf_traces/PXD049412/nextflow_trace.txt
PXD049692	v2_5_1	timsTOF HT	10	28	1	28935.0	32844.0	3909.0	True	True	data/perf_traces/PXD049692/nextflow_trace.txt
PXD062685	v2_5_1	timsTOF SCP	6	19	1	4823.0	6278.0	1455.0	True	True	data/perf_traces/PXD062685/nextflow_trace.txt
PXD064049	v2_5_1	timsTOF SCP	12	32	1	7343.0	8428.0	1085.0	True	True	data/perf_traces/PXD064049/nextflow_trace.txt
PXD070049	v2_5_1	ZenoTOF 7600	6	25	1	3858.0	5503.0	1645.0	True	True	data/perf_traces/PXD070049/nextflow_trace.txt
PXD071075	v2_5_0_q010	Orbitrap Eclipse	2310	4627	1	135663.245				True	data/queue_size_sweep/q010/nextflow_trace.txt
PXD071075	v2_5_0_q050	Orbitrap Eclipse	2310	4627	1	29225.398				True	data/queue_size_sweep/q050/nextflow_trace.txt
PXD071075	v2_5_0_q100	Orbitrap Eclipse	2310	4627	1	17349.964				True	data/queue_size_sweep/q100/nextflow_trace.txt
PXD071075	v2_5_0_q200	Orbitrap Eclipse	2310	4627	1	9489.801				True	data/queue_size_sweep/q200/nextflow_trace.txt
PXD071075	v2_5_0_q300	Orbitrap Eclipse	2310	4627	1	8739.773				True	data/queue_size_sweep/q300/nextflow_trace.txt
ProteoBench_Module_7	v2_5_1	Orbitrap Astral	6	19	1	2518.0	4788.0	2270.0	True	True	data/perf_traces/ProteoBench_Module_7/nextflow_trace.txt
