step	n_rss	peak_rss_p50_bytes	peak_rss_p95_bytes	n_cpu	pct_cpu_p50	pct_cpu_p95	thread_efficiency_p50	thread_efficiency_p95
ASSEMBLE_EMPIRICAL_LIBRARY	17	17609365913.6	61246233640.96	17	320.4	526.2799999999999	26.7	43.856666666666655
INSILICO_LIBRARY_GENERATION	17	12670153523.2	85727547228.16	17	768.3	2169.04	64.02499999999999	180.75333333333333
SUMMARY_PIPELINE	18	11918534246.4	128714801151.99933	18	94.85	108.0249999999999	7.904166666666666	9.002083333333326
FINAL_QUANTIFICATION	18	6120328396.799999	59152437084.15964	18	401.1	828.5599999999986	33.425000000000004	69.04666666666655
PRELIMINARY_ANALYSIS	12069	5798205849.6	9019431321.6	12069	917.3	990.4	76.44166666666666	82.53333333333333
QPX_EXPORT	8	3825677107.2000003	23085449215.999992	8	111.05	153.88499999999996	9.254166666666666	12.823749999999997
INDIVIDUAL_ANALYSIS	12069	1932735283.2	2040109465.6	12069	832.8	928.6	69.39999999999999	77.38333333333334
DIANN_MSSTATS	18	1825361100.8	31627065425.919785	18	101.65	105.195	8.470833333333333	8.76625
WIFF_CONVERT	306	200854732.8	230765363.2	306	97.7	98.6	8.141666666666667	8.216666666666667
SAMPLESHEET_CHECK	17	144074342.4	191365120.0	17	87.7	90.78	7.308333333333334	7.565
SDRF_PARSING	17	110519910.4	130023424.0	17	88.9	91.28	7.408333333333334	7.6066666666666665
