step	n	p05_seconds	p25_seconds	p50_seconds	p75_seconds	p95_seconds	min_seconds	max_seconds
INSILICO_LIBRARY_GENERATION	17	588.0	989.0	1009.0	1605.0	3897.0	580.0	3909.0
WIFF_CONVERT	306	549.75	655.25	724.0	811.5	1000.0	422.0	1440.0
PRELIMINARY_ANALYSIS	12069	292.4	385.0	605.0	650.0	860.0	205.0	28196.0
ASSEMBLE_EMPIRICAL_LIBRARY	17	133.0	170.0	503.0	530.0	711.4	125.0	785.0
SUMMARY_PIPELINE	18	125.5	335.0	480.0	786.25	1602.4999999999995	100.0	1900.0
QPX_EXPORT	8	75.0	82.5	170.0	378.75	7843.9999999999945	75.0	11680.0
FINAL_QUANTIFICATION	18	69.25	86.25	107.5	143.75	1482.4999999999895	65.0	7730.0
DIANN_MSSTATS	18	70.0	80.0	80.0	90.0	306.99999999999847	70.0	1225.0
INDIVIDUAL_ANALYSIS	12069	70.0	73.0	75.0	77.0	124.0	67.0	1067.0
SDRF_PARSING	17	65.0	70.0	70.0	70.0	71.0	65.0	75.0
SAMPLESHEET_CHECK	17	64.0	69.0	69.0	69.0	78.99999999999999	64.0	99.0
