dataset	version	instrument	n_runs	n_tasks_observed	n_invocations	wallclock_seconds	trace_complete	source_file
PXD003539	v2_5_0	TripleTOF 5600	120	2	2	12398.0	False	data/PXD003539/pipeline_info/pipeline_report.txt
PXD004701	v2_5_0	TripleTOF 5600	300	908	1	6763.0	True	data/PXD004701/pipeline_info/pipeline_report.txt
PXD030304	v2_5_0	TripleTOF 6600	5798	0	7	17219.0	False	data/PXD030304/pipeline_info/pipeline_report.txt
PXD049412	v1_8_1	Orbitrap Astral	6	25	1	2713.0	True	data/quantmsdiann_benchmarks/PXD049412/v1_8_1/pipeline_info/pipeline_report.txt
PXD049412	v2_1_0	Orbitrap Astral	6	19	1	1913.0	True	data/quantmsdiann_benchmarks/PXD049412/v2_1_0/pipeline_info/pipeline_report.txt
PXD049412	v2_2_0	Orbitrap Astral	6	19	1	1918.0	True	data/quantmsdiann_benchmarks/PXD049412/v2_2_0/pipeline_info/pipeline_report.txt
PXD049412	v2_3_2	Orbitrap Astral	6	19	1	1938.0	True	data/quantmsdiann_benchmarks/PXD049412/v2_3_2/pipeline_info/pipeline_report.txt
PXD049412	v2_5_0	Orbitrap Astral	6	19	1	1903.0	True	data/quantmsdiann_benchmarks/PXD049412/v2_5_0/pipeline_info/pipeline_report.txt
PXD062685	v1_8_1	timsTOF SCP	6	19	5	463.0	True	data/quantmsdiann_benchmarks/PXD062685/v1_8_1/pipeline_info/pipeline_report.txt
PXD062685	v2_1_0	timsTOF SCP	6	19	3	488.0	True	data/quantmsdiann_benchmarks/PXD062685/v2_1_0/pipeline_info/pipeline_report.txt
PXD062685	v2_2_0	timsTOF SCP	6	19	3	538.0	True	data/quantmsdiann_benchmarks/PXD062685/v2_2_0/pipeline_info/pipeline_report.txt
PXD062685	v2_3_2	timsTOF SCP	6	19	3	547.0	True	data/quantmsdiann_benchmarks/PXD062685/v2_3_2/pipeline_info/pipeline_report.txt
PXD062685	v2_5_0	timsTOF SCP	6	19	3	567.0	True	data/quantmsdiann_benchmarks/PXD062685/v2_5_0/pipeline_info/pipeline_report.txt
PXD070049	v1_8_1	ZenoTOF 7600	6	25	5	488.0	True	data/quantmsdiann_benchmarks/PXD070049/v1_8_1/pipeline_info/pipeline_report.txt
PXD070049	v2_1_0	ZenoTOF 7600	6	25	2	4088.0	True	data/quantmsdiann_benchmarks/PXD070049/v2_1_0/pipeline_info/pipeline_report.txt
PXD070049	v2_2_0	ZenoTOF 7600	6	25	1	4068.0	True	data/quantmsdiann_benchmarks/PXD070049/v2_2_0/pipeline_info/pipeline_report.txt
PXD070049	v2_3_2	ZenoTOF 7600	6	25	2	4128.0	True	data/quantmsdiann_benchmarks/PXD070049/v2_3_2/pipeline_info/pipeline_report.txt
PXD070049	v2_5_0	ZenoTOF 7600	6	25	1	4068.0	True	data/quantmsdiann_benchmarks/PXD070049/v2_5_0/pipeline_info/pipeline_report.txt
ProteoBench_Module_7	v1_8_1	Orbitrap Astral	6	25	4	693.0	True	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v1_8_1/pipeline_info/pipeline_report.txt
ProteoBench_Module_7	v2_1_0	Orbitrap Astral	6	19	2	693.0	True	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_1_0/pipeline_info/pipeline_report.txt
ProteoBench_Module_7	v2_2_0	Orbitrap Astral	6	19	2	723.0	True	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_2_0/pipeline_info/pipeline_report.txt
ProteoBench_Module_7	v2_3_2	Orbitrap Astral	6	19	2	728.0	True	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_3_2/pipeline_info/pipeline_report.txt
ProteoBench_Module_7	v2_5_0	Orbitrap Astral	6	19	2	787.0	True	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_5_0/pipeline_info/pipeline_report.txt
