dataset	version	instrument	threads	n_runs	wallclock_seconds	source_file_for_duration	source_file_for_threads
PXD003539	v2_5_0	TripleTOF 5600	12	120	12398.0	data/PXD003539/pipeline_info/pipeline_report.txt	data/PXD003539/diannsummary.log
PXD004701	v2_5_0	TripleTOF 5600	24	300	6763.0	data/PXD004701/pipeline_info/pipeline_report.txt	data/PXD004701/diannsummary.log
PXD030304	v2_5_0	TripleTOF 6600	36	5798	17219.0	data/PXD030304/pipeline_info/pipeline_report.txt	data/PXD030304/diannsummary.log
PXD049412	v1_8_1	Orbitrap Astral	12	6	2713.0	data/quantmsdiann_benchmarks/PXD049412/v1_8_1/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD049412/v1_8_1/quant_tables/diannsummary.log
PXD049412	v2_1_0	Orbitrap Astral	12	6	1913.0	data/quantmsdiann_benchmarks/PXD049412/v2_1_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD049412/v2_1_0/quant_tables/diannsummary.log
PXD049412	v2_2_0	Orbitrap Astral	12	6	1918.0	data/quantmsdiann_benchmarks/PXD049412/v2_2_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD049412/v2_2_0/quant_tables/diannsummary.log
PXD049412	v2_3_2	Orbitrap Astral	12	6	1938.0	data/quantmsdiann_benchmarks/PXD049412/v2_3_2/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD049412/v2_3_2/quant_tables/diannsummary.log
PXD049412	v2_5_0	Orbitrap Astral	12	6	1903.0	data/quantmsdiann_benchmarks/PXD049412/v2_5_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD049412/v2_5_0/quant_tables/diannsummary.log
PXD062685	v1_8_1	timsTOF SCP	12	6	463.0	data/quantmsdiann_benchmarks/PXD062685/v1_8_1/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD062685/v1_8_1/quant_tables/diannsummary.log
PXD062685	v2_1_0	timsTOF SCP	12	6	488.0	data/quantmsdiann_benchmarks/PXD062685/v2_1_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD062685/v2_1_0/quant_tables/diannsummary.log
PXD062685	v2_2_0	timsTOF SCP	12	6	538.0	data/quantmsdiann_benchmarks/PXD062685/v2_2_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD062685/v2_2_0/quant_tables/diannsummary.log
PXD062685	v2_3_2	timsTOF SCP	12	6	547.0	data/quantmsdiann_benchmarks/PXD062685/v2_3_2/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD062685/v2_3_2/quant_tables/diannsummary.log
PXD062685	v2_5_0	timsTOF SCP	12	6	567.0	data/quantmsdiann_benchmarks/PXD062685/v2_5_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD062685/v2_5_0/quant_tables/diannsummary.log
PXD070049	v1_8_1	ZenoTOF 7600	12	6	488.0	data/quantmsdiann_benchmarks/PXD070049/v1_8_1/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD070049/v1_8_1/quant_tables/diannsummary.log
PXD070049	v2_1_0	ZenoTOF 7600	12	6	4088.0	data/quantmsdiann_benchmarks/PXD070049/v2_1_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD070049/v2_1_0/quant_tables/diannsummary.log
PXD070049	v2_2_0	ZenoTOF 7600	12	6	4068.0	data/quantmsdiann_benchmarks/PXD070049/v2_2_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD070049/v2_2_0/quant_tables/diannsummary.log
PXD070049	v2_3_2	ZenoTOF 7600	12	6	4128.0	data/quantmsdiann_benchmarks/PXD070049/v2_3_2/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD070049/v2_3_2/quant_tables/diannsummary.log
PXD070049	v2_5_0	ZenoTOF 7600	12	6	4068.0	data/quantmsdiann_benchmarks/PXD070049/v2_5_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/PXD070049/v2_5_0/quant_tables/diannsummary.log
ProteoBench_Module_7	v1_8_1	Orbitrap Astral	12	6	693.0	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v1_8_1/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v1_8_1/quant_tables/diannsummary.log
ProteoBench_Module_7	v2_1_0	Orbitrap Astral	12	6	693.0	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_1_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_1_0/quant_tables/diannsummary.log
ProteoBench_Module_7	v2_2_0	Orbitrap Astral	12	6	723.0	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_2_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_2_0/quant_tables/diannsummary.log
ProteoBench_Module_7	v2_3_2	Orbitrap Astral	12	6	728.0	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_3_2/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_3_2/quant_tables/diannsummary.log
ProteoBench_Module_7	v2_5_0	Orbitrap Astral	12	6	787.0	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_5_0/pipeline_info/pipeline_report.txt	data/quantmsdiann_benchmarks/ProteoBench_Module_7/v2_5_0/quant_tables/diannsummary.log
