step	n	p05_seconds	p25_seconds	p50_seconds	p75_seconds	p95_seconds	min_seconds	max_seconds
INSILICO_LIBRARY_GENERATION	20	729.9278999999999	1417.4489999999998	1439.9769999999999	1462.43775	2972.27405	729.888	3014.303
WIFF_CONVERT	30	1014.92445	1026.181	1039.8715000000002	1049.8142500000001	1070.33725	1014.783	1079.876
SUMMARY_PIPELINE	20	213.73465000000002	396.93575	507.425	581.17675	727.9078499999999	204.912	784.943
PRELIMINARY_ANALYSIS	120	349.8039	409.72275	429.88649999999996	733.6365	1907.9300999999996	309.884	2199.935
THERMORAWFILEPARSER	12	129.8411	133.56875	252.027	365.5855	376.5411	129.829	379.246
ASSEMBLE_EMPIRICAL_LIBRARY	20	94.1649	113.4615	167.42149999999998	194.94	255.4343	79.932	264.94
INDIVIDUAL_ANALYSIS	120	84.3267	99.88025	134.9075	159.83350000000002	241.8462999999999	74.812	369.635
FINAL_QUANTIFICATION	20	74.66535	78.6905	87.441	94.95425	165.44105000000002	69.865	174.942
DIANN_MSSTATS	20	69.83909999999999	69.90075	69.9225	69.939	74.93105	69.803	74.932
SAMPLESHEET_CHECK	19	64.3702	66.824	69.346	69.404	69.44539999999999	64.336	69.449
SDRF_PARSING	19	64.8507	64.911	64.93	69.897	69.9281	64.587	69.929
